EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4379.49,4509.23,3666.15,4661.03,4341.03,4075.90,4363.59,4233.33,4911.79,4462.05,4487.18,4740.00,4406.67,4606.15
4377.44,4509.23,3669.23,4663.59,4344.10,4078.97,4363.08,4222.56,4901.54,4441.54,4493.33,4740.51,4412.31,4608.72
4372.31,4506.15,3667.18,4651.79,4352.31,4076.92,4365.13,4207.18,4889.23,4427.18,4481.03,4729.74,4395.90,4601.03
4372.82,4505.13,3672.82,4643.59,4350.77,4075.90,4366.15,4197.95,4883.59,4442.56,4472.82,4724.10,4389.23,4598.97
4375.38,4505.64,3682.05,4648.72,4346.15,4075.90,4366.67,4191.28,4875.90,4437.44,4478.97,4731.79,4397.95,4600.51
4373.33,4504.62,3689.23,4656.92,4340.51,4073.85,4366.15,4184.10,4863.08,4407.18,4480.00,4740.51,4394.87,4602.05
4373.85,4503.08,3693.85,4655.38,4341.54,4073.33,4364.10,4181.03,4859.49,4404.10,4467.69,4735.38,4381.54,4598.97
4379.49,4504.10,3695.90,4651.79,4348.72,4076.92,4366.15,4182.56,4866.15,4431.79,4460.00,4722.05,4381.03,4593.33
4380.51,4508.21,3696.92,4655.90,4349.23,4078.46,4367.69,4187.69,4876.41,4450.77,4462.05,4717.95,4392.82,4594.87
4378.46,4507.69,3700.00,4656.41,4348.21,4076.41,4367.69,4197.95,4888.72,4439.49,4465.13,4720.00,4399.49,4600.00
4380.51,4506.67,3705.64,4652.31,4353.85,4076.92,4365.64,4204.62,4892.82,4424.10,4467.18,4720.00,4395.90,4601.03
4387.18,4518.97,3715.90,4658.46,4348.72,4076.41,4362.56,4202.05,4891.79,4434.36,4474.36,4721.03,4395.90,4601.03
4388.21,4524.62,3723.08,4667.18,4339.49,4069.74,4355.90,4201.03,4891.28,4442.05,4482.56,4723.08,4402.56,4604.10
4382.05,4510.77,3724.10,4659.49,4347.69,4064.62,4348.72,4197.95,4887.18,4427.69,4473.85,4718.46,4397.44,4601.03
4383.08,4509.74,3730.26,4656.41,4355.90,4066.15,4348.72,4189.74,4877.95,4423.59,4458.97,4716.41,4386.67,4596.92
4389.74,4520.51,3737.95,4663.08,4348.72,4066.67,4353.85,4188.72,4876.41,4429.23,4460.00,4723.59,4388.21,4599.49
4387.18,4513.85,3741.54,4660.51,4343.59,4065.64,4360.00,4197.95,4883.59,4426.15,4473.33,4730.26,4394.87,4602.05
4380.00,4503.08,3745.64,4654.36,4341.54,4069.23,4363.59,4203.08,4890.26,4435.90,4473.33,4732.82,4396.41,4601.54
4382.05,4505.13,3751.28,4654.36,4337.95,4073.85,4367.18,4202.05,4890.77,4445.13,4464.10,4735.38,4394.87,4600.51
4383.08,4506.15,3751.28,4651.28,4346.67,4077.95,4372.82,4202.56,4889.23,4429.23,4468.72,4735.90,4391.79,4600.00
4375.90,4502.56,3754.36,4645.64,4358.46,4082.05,4376.92,4203.59,4887.69,4428.21,4476.41,4734.36,4387.69,4598.97
4376.41,4503.08,3765.64,4652.31,4355.90,4086.67,4378.97,4202.05,4889.23,4441.03,4474.87,4736.41,4390.77,4598.97
4387.18,4512.82,3778.97,4666.15,4353.85,4091.28,4384.10,4203.59,4897.44,4444.10,4476.41,4740.51,4396.92,4599.49
4392.31,4523.08,3786.67,4672.82,4357.95,4090.77,4386.67,4209.23,4902.05,4456.41,4476.41,4738.46,4398.97,4601.03
4386.15,4514.87,3784.10,4666.67,4360.00,4083.08,4376.41,4202.05,4894.36,4460.51,4466.67,4732.31,4394.87,4598.97
4381.03,4504.10,3780.00,4655.90,4364.10,4076.41,4365.13,4187.18,4887.18,4440.00,4464.10,4730.26,4388.72,4594.87
4385.13,4513.33,3788.72,4657.44,4370.26,4078.46,4358.97,4190.77,4891.79,4440.51,4473.33,4735.38,4391.28,4597.95
4391.28,4523.08,3802.05,4669.74,4366.15,4077.95,4354.87,4202.05,4893.85,4447.18,4480.00,4741.54,4400.51,4603.59
